date,open,high,low,close,volume
2026-03-25,389.99,396.23,385.01,385.95,55157265
2026-03-26,381.6,384.44,371.87,372.11,55522879
2026-03-27,369.69,369.86,359.47,361.83,62065659
2026-03-30,365.86,367.29,352.14,355.28,67954405
2026-03-31,361.51,373.33,361.0,371.75,75534934
2026-04-01,378.63,383.14,374.08,381.26,58683752
2026-04-02,364.195,370.28,359.03,360.59,83031226
2026-04-06,362.59,367.72,346.64,352.82,77697643
2026-04-07,346.44,348.02,337.24,346.65,74515355
2026-04-08,363.79,364.5,339.67,343.25,78838616
2026-04-09,343.15,348.88,337.25,345.62,62164016
2026-04-10,346.285,350.36,342.74,348.95,51336034
2026-04-13,350.065,356.35,348.57,352.42,53617477
2026-04-14,357.67,367.63,354.77,364.2,59979607
2026-04-15,366.83,394.65,362.5,391.95,113810355
2026-04-16,393.81,394.06,381.8,388.9,63515136
2026-04-17,395.92,409.28,391.65,400.62,90640032
2026-04-20,402.58,406.8,388.33,392.5,64603868
2026-04-21,393.0,393.95,385.2201,386.42,50530611
2026-04-22,387.57,393.01,385.3,387.51,62362785
2026-04-23,375.28,386.0,368.39,373.72,93969510
2026-04-24,373.5,382.76,370.73,376.3,62893307
2026-04-27,372.09,380.78,364.02,378.67,66735816
2026-04-28,374.675,382.29,372.54,376.02,50864357
2026-04-29,375.4,376.4,370.04,372.8,45384836
2026-04-30,372.75,384.75,368.17,381.63,51076041
2026-05-01,382.485,397.8211,378.8,390.82,65338257
2026-05-04,390.23,394.64,384.8004,392.51,48765143
2026-05-05,395.185,402.12,389.0,389.37,47780631
2026-05-06,386.25,401.68,384.02,398.73,53465365
2026-05-07,407.48,415.83,402.12,411.79,64294224
2026-05-08,416.475,431.2,416.39,428.35,65049970
2026-05-11,422.16,449.16,416.8,445.0,78376127
2026-05-12,441.41,447.8,422.26,433.45,60569303
2026-05-13,436.665,453.4,430.21,445.27,68283229
2026-05-14,446.49,451.98,441.16,443.3,46070361
2026-05-15,433.98,434.66,422.0,422.24,52688742
2026-05-18,419.27,421.13,405.33,409.99,52474188
2026-05-19,403.16,405.63,393.63,404.11,46500551
2026-05-20,407.6,417.46,406.39,417.26,44484579
2026-05-21,422.175,426.95,412.9,417.85,42636854
2026-05-22,422.665,431.51,420.51,426.01,46104710
2026-05-26,430.26,435.2,426.12,433.59,45658897
2026-05-27,442.89,445.6,435.52,440.36,44656505
2026-05-28,437.615,443.96,436.3,442.1,32434996
2026-05-29,439.845,441.07,428.14,435.79,45176821
2026-06-01,427.49,429.6,415.43,415.88,44937852
2026-06-02,418.22,424.42,413.65,423.74,37596045
2026-06-03,418.7,433.6,416.0,423.7,44500733
2026-06-04,419.84,426.3499,417.16,418.45,35323259
2026-06-05,420.5,424.6799,388.59,391.0,63420177
2026-06-08,396.33,412.94,394.72,408.95,50328834
2026-06-09,411.03,418.5,384.24,396.68,59940230
2026-06-10,391.54,397.09,380.15,381.59,49695583
2026-06-11,388.28,399.54,380.66,399.15,45324348
2026-06-12,399.49,406.68,386.76,406.43,63652286
2026-06-15,412.37,416.0,407.1,411.15,45620514
2026-06-16,404.11,412.42,400.54,404.66,40255473
2026-06-17,401.53,405.94,393.76,396.38,43534299
2026-06-18,398.095,402.52,384.7,400.49,58384713
2026-06-22,394.85,414.75,394.4,405.05,47819486
2026-06-23,392.61,392.87,379.06,381.61,50420210
2026-06-24,380.08,384.58,373.05,375.53,37081421
2026-06-25,375.27,379.117,371.221,375.12,30259987
2026-06-26,370.15,387.8,368.6,379.71,53434138
2026-06-29,381.79,413.27,379.3,411.84,57645798
2026-06-30,406.0,424.54,406.0,420.6,43385619
2026-07-01,421.46,432.8599,418.0901,425.3,40127902
2026-07-02,428.01,432.35,389.3011,393.45,73915762
2026-07-06,397.5,420.0,390.5,419.77,54727861
2026-07-07,416.96,419.56,401.88,402.9,38149901
2026-07-08,399.375,399.63,390.51,394.06,33844906
2026-07-09,393.99,407.86,390.8631,406.55,37834988
2026-07-10,410.49,413.16,402.8101,407.76,33409995
2026-07-13,404.61,405.57,391.37,394.76,32809171
2026-07-14,399.05,402.22,394.76,396.18,23384992
2026-07-15,399.395,406.5895,390.66,394.46,31549805
2026-07-16,392.35,395.31,385.32,391.06,29269113
2026-07-17,381.78,385.6899,377.22,380.84,31394594
2026-07-20,386.045,386.61,369.425,369.57,33901516
2026-07-21,371.165,384.07,369.98,378.93,32735334
2026-07-22,375.53,380.17,372.9,374.01,30646124
2026-07-23,341.0,342.11,315.735,319.69,115606413
2026-07-24,320.72,322.96,306.51,313.03,62760007
2026-07-27,313.24,317.0,304.28,309.22,44919377
2026-07-28,305.925,311.16,300.69,307.44,39802421
2026-07-29,307.14,309.06,297.38,298.32,39478039
2026-07-30,302.7,310.87,301.33,308.85,38005390
2026-07-31,309.69,315.5,301.97,311.21,36630560
2026-08-03,310.96,324.65,310.425,322.08,38281362
2026-08-04,324.0,329.57,320.7901,327.35,33318303
2026-08-05,323.42,327.14,320.28,321.55,27820813
2026-08-06,317.05,323.0,315.5205,319.53,26033776
2026-08-07,322.34,333.73,321.2508,328.58,39492345
2026-08-10,326.595,332.05,326.15,330.88,25003808
2026-08-11,332.8,336.2,329.53,332.81,23345233
2026-08-12,335.0,335.5,323.64,327.51,28698879
2026-08-13,327.2,341.64,325.24,339.96,34708303
2026-08-14,342.33,351.26,335.3306,342.27,45437144
2026-08-17,340.69,345.45,337.48,339.3,25439990
